crop,period,irrigation_m3_per_ha,labour_h_per_ha
winter_wheat,P1_spring,0,3.0
winter_wheat,P2_early_summer,0,1.5
winter_wheat,P3_late_summer,0,4.0
winter_wheat,P4_autumn,0,3.5
winter_barley,P1_spring,0,2.8
winter_barley,P2_early_summer,0,1.2
winter_barley,P3_late_summer,0,3.6
winter_barley,P4_autumn,0,3.2
grain_maize,P1_spring,0,4.0
grain_maize,P2_early_summer,300,2.5
grain_maize,P3_late_summer,200,1.5
grain_maize,P4_autumn,0,5.0
sugar_beet,P1_spring,0,5.5
sugar_beet,P2_early_summer,350,3.0
sugar_beet,P3_late_summer,250,2.0
sugar_beet,P4_autumn,0,7.5
potato,P1_spring,0,7.0
potato,P2_early_summer,520,6.0
potato,P3_late_summer,480,5.0
potato,P4_autumn,0,18.0
field_beans,P1_spring,0,3.2
field_beans,P2_early_summer,120,1.8
field_beans,P3_late_summer,60,3.0
field_beans,P4_autumn,0,2.5
cover_fallow,P1_spring,0,0.5
cover_fallow,P2_early_summer,0,0.3
cover_fallow,P3_late_summer,0,0.4
cover_fallow,P4_autumn,0,0.5
