crop,soil_class,yield_t_per_ha
winter_wheat,deep_loam,9.5
winter_wheat,silt_loam,9.1
winter_wheat,sandy_loam,8.4
winter_wheat,heavy_clay,9.9
winter_barley,deep_loam,8.8
winter_barley,silt_loam,8.5
winter_barley,sandy_loam,8.1
winter_barley,heavy_clay,8.6
grain_maize,deep_loam,11.5
grain_maize,silt_loam,11.0
grain_maize,sandy_loam,12.0
grain_maize,heavy_clay,9.8
sugar_beet,deep_loam,85.0
sugar_beet,silt_loam,81.0
sugar_beet,sandy_loam,76.0
sugar_beet,heavy_clay,72.0
potato,deep_loam,47.0
potato,silt_loam,44.0
potato,sandy_loam,45.0
potato,heavy_clay,26.0
field_beans,deep_loam,4.6
field_beans,silt_loam,4.3
field_beans,sandy_loam,3.9
field_beans,heavy_clay,4.4
cover_fallow,deep_loam,0.0
cover_fallow,silt_loam,0.0
cover_fallow,sandy_loam,0.0
cover_fallow,heavy_clay,0.0
